,ind1y_1,ind3m_1,ind3y_1,us3m_1,us3y_1,GC=F,INR=X,^GSPC,^INDIAVIX,^IXIC,^NSEI,^VIX
2008-03-03,0.07440000000000001,0.073,0.07551999999999999,0.016120000000000002,0.016200000000000003,981.5,40.25400161743164,1331.3399658203125,35.7599983215332,2258.60009765625,4953.0,26.280000686645508
2008-03-04,0.07529,0.073,0.07534,0.01577,0.01641,963.9000244140625,40.20899963378906,1326.75,38.08000183105469,2260.280029296875,4864.25,25.520000457763672
2008-03-05,0.07482,0.073,0.07516,0.0149,0.01595,986.2000122070312,40.17399978637695,1333.699951171875,35.5099983215332,2272.81005859375,4921.39990234375,24.600000381469727
2008-03-06,0.07482,0.073,0.07516,0.013460000000000001,0.01504,975.0,40.04399871826172,1304.3399658203125,35.5099983215332,2220.5,4921.39990234375,27.549999237060547
2008-03-07,0.07517,0.0733,0.07561,0.0127,0.01482,972.2000122070312,40.23899841308594,1293.3699951171875,35.20000076293945,2212.489990234375,4771.60009765625,27.489999771118164
2008-03-10,0.07556,0.0733,0.07593,0.0131,0.014419999999999999,969.9000244140625,40.31399917602539,1273.3699951171875,32.58000183105469,2169.340087890625,4800.39990234375,29.3799991607666
2008-03-11,0.07569,0.0733,0.07575,0.013309999999999999,0.01687,974.2000122070312,40.17499923706055,1320.6500244140625,32.689998626708984,2255.760009765625,4865.89990234375,26.360000610351562
2008-03-12,0.0746,0.0733,0.07522999999999999,0.013819999999999999,0.01533,978.7999877929688,39.979000091552734,1308.77001953125,32.36000061035156,2243.8701171875,4872.0,27.219999313354492
2008-03-13,0.07465,0.0733,0.07522000000000001,0.0129,0.01554,992.2999877929688,40.124000549316406,1315.47998046875,34.150001525878906,2263.610107421875,4623.60009765625,27.290000915527344
2008-03-14,0.07521,0.0733,0.07551000000000001,0.01111,0.014110000000000001,998.2000122070312,40.07500076293945,1288.1400146484375,31.110000610351562,2212.489990234375,4745.7998046875,31.15999984741211
2008-03-17,0.07526,0.0733,0.07533000000000001,0.00626,0.01262,1001.4000244140625,40.374000549316406,1276.5999755859375,33.43000030517578,2177.010009765625,4503.10009765625,32.2400016784668
2008-03-18,0.07504,0.0733,0.07498,0.00749,0.01543,1003.2000122070312,40.15399932861328,1330.739990234375,37.84000015258789,2268.260009765625,4533.0,25.790000915527344
2008-03-19,0.07464,0.0733,0.0748,0.0055000000000000005,0.01375,944.7000122070312,40.132999420166016,1298.4200439453125,35.4900016784668,2209.9599609375,4573.9501953125,29.84000015258789
2008-03-20,0.07464,0.0733,0.0748,0.00519,0.01516,919.5999755859375,40.275001525878906,1329.510009765625,35.4900016784668,2258.110107421875,4573.9501953125,26.6200008392334
2008-03-21,0.07464,0.0733,0.0748,0.00519,0.01516,919.5999755859375,40.185001373291016,1329.510009765625,35.4900016784668,2258.110107421875,4573.9501953125,26.6200008392334
2008-03-24,0.07549,0.0731,0.07524,0.0051400000000000005,0.0172,918.2999877929688,40.185001373291016,1349.8800048828125,35.209999084472656,2326.75,4609.85009765625,25.729999542236328
2008-03-25,0.07473,0.0735,0.07522000000000001,0.009729999999999999,0.01667,934.5999755859375,40.051998138427734,1352.989990234375,33.29999923706055,2341.050048828125,4877.5,25.719999313354492
2008-03-26,0.07469,0.073,0.07521,0.01203,0.015260000000000001,949.0,40.05699920654297,1341.1300048828125,37.18000030517578,2324.360107421875,4828.85009765625,26.079999923706055
2008-03-27,0.07384,0.0718,0.07503,0.01173,0.01587,948.7999877929688,39.94499969482422,1325.760009765625,37.279998779296875,2280.830078125,4830.25,25.8799991607666
2008-03-28,0.07469,0.0713,0.07559,0.0129,0.01544,930.5999755859375,39.6150016784668,1315.219970703125,33.06999969482422,2261.179931640625,4942.0,25.709999084472656
2008-03-31,0.07564,0.0713,0.07617,0.01264,0.0149,916.2000122070312,39.888999938964844,1322.699951171875,35.13999938964844,2279.10009765625,4734.5,25.610000610351562
2008-04-01,0.07564,0.0713,0.07617,0.01336,0.01705,882.9000244140625,39.888999938964844,1370.1800537109375,35.099998474121094,2362.75,4739.5498046875,22.68000030517578
2008-04-02,0.07514,0.0713,0.07615,0.01357,0.01809,895.2000122070312,39.91999816894531,1367.530029296875,33.619998931884766,2361.39990234375,4754.2001953125,23.43000030517578
2008-04-03,0.07483,0.0695,0.07597000000000001,0.01306,0.01825,905.0,39.88399887084961,1369.31005859375,36.68000030517578,2363.300048828125,4771.60009765625,23.209999084472656
2008-04-04,0.07643,0.0675,0.07696,0.01254,0.01735,909.0,39.80500030517578,1370.4000244140625,36.93000030517578,2370.97998046875,4647.0,22.450000762939453
2008-04-07,0.07703,0.07,0.07747,0.013919999999999998,0.01846,922.7000122070312,39.87300109863281,1372.5400390625,30.989999771118164,2364.830078125,4761.2001953125,22.420000076293945
2008-04-08,0.07671,0.0705,0.07780000000000001,0.013720000000000001,0.018260000000000002,914.0,39.82899856567383,1365.5400390625,31.399999618530273,2348.760009765625,4709.64990234375,22.360000610351562
2008-04-09,0.07658000000000001,0.0705,0.07761,0.013000000000000001,0.017150000000000002,933.5999755859375,39.81700134277344,1354.489990234375,38.2400016784668,2322.1201171875,4747.0498046875,22.809999465942383
2008-04-10,0.077,0.07150000000000001,0.0783,0.01213,0.01783,928.2999877929688,39.88999938964844,1360.550048828125,30.520000457763672,2351.699951171875,4733.0,21.979999542236328
2008-04-11,0.07787,0.07200000000000001,0.07965,0.01203,0.01697,923.5999755859375,39.775001525878906,1332.8299560546875,33.83000183105469,2290.239990234375,4777.7998046875,23.459999084472656
2008-04-14,0.07787,0.07200000000000001,0.07965,0.01065,0.01727,925.4000244140625,39.86899948120117,1328.3199462890625,33.83000183105469,2275.820068359375,4777.7998046875,23.81999969482422
2008-04-15,0.07773,0.07200000000000001,0.07946,0.01168,0.01844,928.7000122070312,39.86399841308594,1334.4300537109375,30.229999542236328,2286.0400390625,4879.64990234375,22.780000686645508
2008-04-16,0.07844999999999999,0.0735,0.08015,0.01122,0.019459999999999998,945.0999755859375,39.82899856567383,1364.7099609375,27.940000534057617,2350.110107421875,4887.2998046875,20.530000686645508
2008-04-17,0.07803,0.07200000000000001,0.08013999999999999,0.012849999999999999,0.02062,939.7999877929688,39.87200164794922,1365.56005859375,27.100000381469727,2341.830078125,4958.39990234375,20.3700008392334
2008-04-18,0.07803,0.07200000000000001,0.08013999999999999,0.01341,0.020819999999999998,912.2000122070312,39.65399932861328,1390.3299560546875,27.100000381469727,2402.969970703125,4958.39990234375,20.1299991607666
2008-04-21,0.07854,0.07429999999999999,0.08045,0.01321,0.02119,914.7000122070312,39.81700134277344,1388.1700439453125,27.100000381469727,2408.0400390625,5037.0,20.5
2008-04-22,0.07832,0.0735,0.08027,0.01295,0.021509999999999998,922.2999877929688,39.827999114990234,1375.93994140625,39.619998931884766,2376.93994140625,5049.2998046875,20.8700008392334
2008-04-23,0.07818,0.0735,0.08044000000000001,0.012190000000000001,0.021480000000000003,906.2000122070312,39.86000061035156,1379.9300537109375,32.369998931884766,2405.2099609375,5022.7998046875,20.260000228881836
2008-04-24,0.07843,0.0738,0.0806,0.0126,0.02328,886.7999877929688,40.03499984741211,1388.8199462890625,28.729999542236328,2428.919921875,4999.85009765625,20.059999465942383
2008-04-25,0.07841000000000001,0.0735,0.08039999999999999,0.01367,0.02368,887.2000122070312,40.064998626708984,1397.8399658203125,27.399999618530273,2422.929931640625,5111.7001953125,19.59000015258789
2008-04-28,0.07808,0.0735,0.08021,0.01387,0.023,892.9000244140625,40.03099822998047,1396.3699951171875,27.6200008392334,2424.39990234375,5089.64990234375,19.639999389648438
2008-04-29,0.07756,0.0728,0.07914,0.01485,0.02299,874.2000122070312,40.29999923706055,1390.93994140625,26.15999984741211,2426.10009765625,5195.5,20.239999771118164
2008-04-30,0.07767,0.073,0.07894,0.01352,0.02214,862.7999877929688,40.38600158691406,1385.5899658203125,26.15999984741211,2412.800048828125,5165.89990234375,20.790000915527344
2008-05-01,0.07767,0.073,0.07894,0.014079999999999999,0.02308,848.9000244140625,40.38600158691406,1409.3399658203125,26.15999984741211,2480.7099609375,5165.89990234375,18.8799991607666
2008-05-02,0.07726,0.0728,0.0782,0.01525,0.023799999999999998,856.0999755859375,40.48500061035156,1413.9000244140625,24.209999084472656,2476.989990234375,5228.2001953125,18.18000030517578
2008-05-05,0.07663,0.07200000000000001,0.07783999999999999,0.01582,0.02351,872.2999877929688,40.52000045776367,1407.489990234375,25.06999969482422,2464.1201171875,5192.25,18.899999618530273
2008-05-06,0.07639,0.0725,0.07782,0.01633,0.023450000000000002,876.0,40.67300033569336,1418.260009765625,24.90999984741211,2483.31005859375,5144.64990234375,18.209999084472656
2008-05-07,0.07655,0.07200000000000001,0.07817,0.01685,0.02253,869.5999755859375,41.316001892089844,1392.5699462890625,25.059999465942383,2438.489990234375,5135.5,19.729999542236328
2008-05-08,0.0766,0.0723,0.07816,0.01659,0.02168,880.5999755859375,41.70000076293945,1397.6800537109375,25.940000534057617,2451.239990234375,5081.7001953125,19.399999618530273
2008-05-09,0.07667,0.07200000000000001,0.07794,0.016890000000000002,0.02174,884.5,41.4119987487793,1388.280029296875,27.530000686645508,2445.52001953125,4982.60009765625,19.40999984741211
2008-05-12,0.07623,0.0725,0.07758,0.01817,0.02281,883.7000122070312,41.83100128173828,1403.5799560546875,31.5,2488.489990234375,5012.64990234375,17.790000915527344
2008-05-13,0.07688,0.0725,0.07774,0.01957,0.024300000000000002,868.5,41.9739990234375,1403.0400390625,33.43000030517578,2495.1201171875,4957.7998046875,17.979999542236328
2008-05-14,0.07714,0.0725,0.07809,0.01818,0.02503,865.4000244140625,42.3650016784668,1408.6600341796875,29.219999313354492,2496.699951171875,5011.75,17.65999984741211
2008-05-15,0.0775,0.0735,0.07843,0.01843,0.024009999999999997,879.0,42.36899948120117,1423.5699462890625,29.020000457763672,2533.72998046875,5115.25,16.299999237060547
2008-05-16,0.07768,0.0738,0.07876,0.01838,0.02444,899.0,42.36600112915039,1425.3499755859375,23.25,2528.85009765625,5157.7001953125,16.469999313354492
2008-05-19,0.07768,0.0738,0.07876,0.01858,0.02379,905.0,42.35100173950195,1426.6300048828125,23.25,2516.090087890625,5157.7001953125,17.010000228881836
2008-05-20,0.0776,0.0737,0.07856,0.01849,0.022930000000000002,919.5,42.611000061035156,1413.4000244140625,24.989999771118164,2492.260009765625,5104.9501953125,17.579999923706055
2008-05-21,0.07797,0.07400000000000001,0.07891,0.01869,0.02373,928.0,42.619998931884766,1390.7099609375,27.860000610351562,2448.27001953125,5117.64990234375,18.59000015258789
2008-05-22,0.07793,0.07400000000000001,0.07872,0.01869,0.02513,917.9000244140625,43.077999114990234,1394.3499755859375,34.86000061035156,2464.580078125,5025.4501953125,18.049999237060547
2008-05-23,0.07822,0.0745,0.07886,0.01858,0.024310000000000002,925.5999755859375,42.61000061035156,1375.9300537109375,34.029998779296875,2444.669921875,4946.5498046875,19.549999237060547
2008-05-26,0.07849,0.0748,0.07904,0.01858,0.024310000000000002,925.5999755859375,42.54499816894531,1375.9300537109375,33.0099983215332,2444.669921875,4875.0498046875,19.549999237060547
2008-05-27,0.07928,0.0745,0.07975,0.01915,0.02496,907.7000122070312,42.81100082397461,1385.3499755859375,28.59000015258789,2481.239990234375,4859.7998046875,19.639999389648438
2008-05-28,0.07831,0.0745,0.07937999999999999,0.019,0.02596,900.5,42.77199935913086,1390.8399658203125,32.630001068115234,2486.699951171875,4918.35009765625,19.06999969482422
2008-05-29,0.07889,0.0745,0.07980000000000001,0.01879,0.026629999999999997,877.2000122070312,42.67599868774414,1398.260009765625,28.079999923706055,2508.320068359375,4835.2998046875,18.139999389648438
2008-05-30,0.07892,0.0742,0.07989,0.01905,0.0262,887.2999877929688,42.53099822998047,1400.3800048828125,26.68000030517578,2522.659912109375,4870.10009765625,17.829999923706055
2008-06-02,0.07836,0.0742,0.07988,0.01833,0.02481,892.9000244140625,42.189998626708984,1385.6700439453125,29.489999771118164,2491.530029296875,4739.60009765625,19.829999923706055
2008-06-03,0.07873999999999999,0.07400000000000001,0.08005000000000001,0.01854,0.023700000000000002,881.5999755859375,42.242000579833984,1377.6500244140625,28.489999771118164,2480.47998046875,4715.89990234375,20.239999771118164
2008-06-04,0.07891,0.07400000000000001,0.07986,0.01854,0.024249999999999997,879.9000244140625,42.512001037597656,1377.199951171875,29.81999969482422,2503.139892578125,4585.60009765625,20.799999237060547
2008-06-05,0.07983,0.0748,0.08095000000000001,0.01859,0.02475,871.7999877929688,42.792999267578125,1404.050048828125,30.31999969482422,2549.93994140625,4676.9501953125,18.6299991607666
2008-06-06,0.07972,0.07519999999999999,0.08202999999999999,0.01843,0.0236,895.4000244140625,42.715999603271484,1360.6800537109375,30.31999969482422,2474.56005859375,4627.7998046875,23.559999465942383
2008-06-09,0.08054,0.0755,0.08202,0.01899,0.026869999999999998,894.7000122070312,42.808998107910156,1361.760009765625,32.43000030517578,2459.4599609375,4500.9501953125,23.1200008392334
2008-06-10,0.08029,0.0755,0.08182,0.02013,0.028919999999999998,867.9000244140625,42.83000183105469,1358.43994140625,30.229999542236328,2448.93994140625,4449.7998046875,23.18000030517578
2008-06-11,0.07993,0.07629999999999999,0.08256000000000001,0.01931,0.02779,879.7000122070312,42.59299850463867,1335.489990234375,29.639999389648438,2394.010009765625,4523.60009765625,24.1200008392334
2008-06-12,0.08086,0.0775,0.08346999999999999,0.02007,0.030299999999999997,869.2000122070312,42.749000549316406,1339.8699951171875,29.229999542236328,2404.35009765625,4539.35009765625,23.329999923706055
2008-06-13,0.08161,0.0785,0.0842,0.01992,0.0301,870.2999877929688,42.83100128173828,1360.030029296875,30.700000762939453,2454.5,4517.10009765625,21.219999313354492
2008-06-16,0.08114,0.0785,0.08401,0.019450000000000002,0.03019,883.5999755859375,42.81399917602539,1360.1400146484375,29.020000457763672,2474.780029296875,4572.5,20.950000762939453
